barrier_sequence,sequence_length,reward_path_lengths,choice_points
"[frozenset({36, 39, 9, 42, 10, 18, 19, 22, 25}), frozenset({36, 39, 10, 42, 14, 18, 19, 22, 25})]",2,"[[15, 17, 19], [17, 15, 19]]","[{17}, {16}]"
"[frozenset({32, 37, 8, 40, 12, 16, 21, 27, 29}), frozenset({32, 37, 8, 40, 12, 21, 25, 27, 29}), frozenset({32, 34, 37, 8, 40, 12, 21, 25, 27})]",3,"[[19, 23, 17], [19, 15, 23], [19, 15, 17]]","[{36}, {13}, {24, 36, 13}]"
"[frozenset({37, 11, 45, 20, 21, 23, 24, 27, 28})]",1,"[[19, 21, 15]]",[{36}]
"[frozenset({39, 8, 13, 46, 18, 19, 24, 27, 30}), frozenset({39, 8, 13, 46, 18, 19, 25, 27, 30})]",2,"[[17, 23, 17], [21, 15, 17]]","[{31}, {29}]"
"[frozenset({35, 7, 10, 42, 45, 18, 20, 23, 26})]",1,"[[17, 19, 23]]",[{17}]
"[frozenset({32, 34, 8, 10, 45, 15, 21, 29, 30})]",1,"[[19, 15, 21]]",[{16}]
"[frozenset({39, 7, 11, 44, 46, 16, 21, 27, 30})]",1,"[[17, 23, 17]]",[{31}]
"[frozenset({39, 8, 42, 11, 17, 19, 24, 27, 30})]",1,"[[17, 23, 17]]",[{31}]
"[frozenset({34, 37, 41, 10, 9, 18, 20, 21, 23}), frozenset({34, 37, 9, 10, 41, 18, 20, 23, 25}), frozenset({34, 37, 9, 10, 41, 18, 23, 25, 31})]",3,"[[25, 21, 17], [15, 19, 17], [15, 19, 21]]","[{35}, {26}, {17}]"
"[frozenset({34, 7, 10, 45, 22, 23, 25, 27, 31}), frozenset({34, 37, 7, 10, 45, 22, 23, 25, 27}), frozenset({34, 37, 7, 10, 45, 22, 23, 25, 30})]",3,"[[21, 19, 15], [17, 19, 15], [17, 19, 23]]","[{35}, {17, 35, 36}, {17}]"
"[frozenset({32, 40, 9, 8, 17, 20, 23, 28, 31}), frozenset({32, 35, 8, 40, 9, 20, 23, 28, 31})]",2,"[[21, 17, 15], [17, 17, 23]]","[{29}, {13}]"
"[frozenset({34, 37, 40, 11, 44, 13, 15, 25, 31})]",1,"[[19, 15, 17]]",[{24}]
"[frozenset({32, 34, 40, 44, 13, 15, 18, 21, 25})]",1,"[[19, 15, 17]]",[{24}]
"[frozenset({34, 40, 10, 42, 12, 22, 25, 27, 29})]",1,"[[15, 17, 19]]",[{17}]
"[frozenset({34, 37, 39, 8, 9, 42, 12, 17, 21})]",1,"[[19, 15, 19]]","[{24, 20, 30}]"
"[frozenset({34, 10, 42, 44, 15, 21, 26, 27, 30})]",1,"[[21, 15, 19]]",[{24}]
"[frozenset({32, 35, 37, 7, 10, 44, 20, 23, 31})]",1,"[[17, 19, 23]]",[{17}]
"[frozenset({39, 9, 42, 44, 13, 20, 22, 27, 30})]",1,"[[15, 21, 17]]",[{31}]
"[frozenset({34, 37, 12, 13, 45, 46, 18, 25, 28}), frozenset({34, 37, 12, 13, 45, 18, 22, 25, 28}), frozenset({34, 37, 12, 45, 13, 18, 22, 28, 30})]",3,"[[15, 19, 17], [17, 19, 15], [17, 19, 21]]","[{26}, {36}, {21}]"
"[frozenset({34, 37, 40, 8, 45, 15, 17, 25, 31}), frozenset({34, 37, 8, 45, 15, 17, 23, 25, 31})]",2,"[[19, 15, 17], [19, 17, 15]]","[{24}, {35}]"
"[frozenset({37, 7, 41, 16, 18, 20, 24, 25, 29})]",1,"[[15, 19, 17]]",[{26}]
